cause,effect,weight
Morgan Bit 1043,Morgan Bit 437,0.7039429765866793
Morgan Bit 1043,Morgan Bit 67,0.7038276706118084
Morgan Bit 1043,Morgan Bit 1633,0.7038276706118084
Morgan Bit 565,Morgan Bit 1323,0.7037684308449025
Morgan Bit 45,Morgan Bit 1357,0.6990851661601771
Morgan Bit 1143,Bit 91,0.6791147995967545
Morgan Bit 1444,Morgan Bit 784,0.6744240993497629
Morgan Bit 45,Bit 65,0.6668912469885727
Morgan Bit 222,Morgan Bit 1683,-0.6534186965443585
Morgan Bit 997,Bit 96,-0.6529122350354728
Morgan Bit 997,Morgan Bit 926,-0.6506158397040345
Morgan Bit 500,Bit 65,-0.6416030649598831
Morgan Bit 1633,Bit 31,-0.6411794687223783
Morgan Bit 645,Bit 31,-0.6411794687223781
Bit 91,Bit 104,0.6409948532032762
Bit 101,Bit 121,0.6409557972715009
Morgan Bit 997,Morgan Bit 656,0.6405761454315141
Morgan Bit 36,Bit 31,0.6284828455793612
Morgan Bit 1323,Bit 31,0.6284828455793606
Morgan Bit 500,Bit 31,0.6284828455793602
Morgan Bit 1453,Morgan Bit 1226,0.6279838734226602
Morgan Bit 1260,Morgan Bit 1453,0.6273976873843023
Morgan Bit 414,Bit 121,-0.6262701846838254
Morgan Bit 784,Morgan Bit 1143,0.6199398908608033
Bit 163,Morgan Bit 1380,0.6123413846625656
Morgan Bit 1601,Morgan Bit 439,0.5984222969722093
Morgan Bit 45,Bit 101,-0.5937710859953543
Bit 98,Bit 121,0.5925547159714833
Morgan Bit 378,Bit 96,-0.5912064276015109
Morgan Bit 1043,Morgan Bit 1260,-0.5825752650035356
Morgan Bit 565,Morgan Bit 222,-0.5825752650035355
Morgan Bit 1043,Morgan Bit 1601,-0.5825752650035355
Morgan Bit 645,Bit 65,0.581004266778088
Morgan Bit 473,Morgan Bit 222,0.5772791262307759
Morgan Bit 976,Morgan Bit 1260,0.5771810495868417
Morgan Bit 1646,Bit 96,0.5683604260777473
Morgan Bit 1357,Bit 121,-0.5657779784502893
Morgan Bit 1646,Morgan Bit 656,-0.5650791827999815
Morgan Bit 222,Morgan Bit 656,0.5610917288890938
Morgan Bit 1646,Morgan Bit 926,0.5601324455821605
Morgan Bit 222,Morgan Bit 926,-0.5601324455821596
Bit 96,Bit 89,0.5572320563245537
Morgan Bit 1741,Bit 65,-0.5515300788991989
Morgan Bit 500,Bit 108,0.5504475360961772
Bit 91,Bit 90,0.5437197167349982
Morgan Bit 950,Bit 162,0.5426601627075909
Morgan Bit 1293,Morgan Bit 784,0.5418236634849424
Morgan Bit 645,Bit 108,-0.5373665764928058
Morgan Bit 1323,Morgan Bit 1683,0.5359337092787086
Morgan Bit 1490,Morgan Bit 1683,0.5359337092787085
Morgan Bit 950,Morgan Bit 1873,-0.5321147994668095
Morgan Bit 950,Morgan Bit 715,0.531726915867939
Morgan Bit 656,Morgan Bit 1357,0.5290365827669026
Morgan Bit 36,Morgan Bit 1683,0.5248835297059516
Bit 141,Bit 74,0.521414954951756
Morgan Bit 67,Morgan Bit 1649,-0.5140872632984744
Morgan Bit 1633,Bit 141,-0.5140872632984731
Morgan Bit 645,Bit 141,-0.5140872632984729
Bit 31,Bit 121,0.5130209738987961
Morgan Bit 500,Bit 141,0.508997290394528
Morgan Bit 1444,Bit 108,0.5071818161138583
Morgan Bit 473,Morgan Bit 997,0.5068340299791974
Morgan Bit 565,Morgan Bit 997,-0.5068340299791972
Morgan Bit 473,Morgan Bit 532,-0.5068340299791971
Morgan Bit 624,Morgan Bit 997,0.506834029979197
Morgan Bit 632,Morgan Bit 1873,0.5031290359977713
Morgan Bit 976,Morgan Bit 378,0.5021411222942048
Morgan Bit 976,Bit 98,0.5021411222942048
Morgan Bit 1430,Bit 108,0.5000487752681331
Morgan Bit 645,Morgan Bit 439,-0.5000000000000001
Morgan Bit 950,Morgan Bit 1750,-0.4988249102438773
Morgan Bit 565,Morgan Bit 532,0.4970872217103668
Morgan Bit 632,Morgan Bit 715,-0.49137160261085044
Morgan Bit 1633,Bit 108,-0.49080795010414313
Morgan Bit 439,Bit 101,0.48701076700570695
Morgan Bit 645,Bit 101,-0.4870107670057069
Morgan Bit 1633,Bit 65,0.4863850906696704
Morgan Bit 950,Bit 96,0.48568892647804784
Bit 98,Bit 156,0.48487851937741905
Morgan Bit 1043,Bit 121,-0.47885756430540966
Morgan Bit 500,Bit 101,0.477554247258023
Morgan Bit 439,Bit 96,0.4713289243765755
Morgan Bit 36,Bit 96,-0.46997044327714077
Bit 125,Bit 163,0.4693686021164372
Morgan Bit 1293,Bit 96,-0.46861196217770656
Morgan Bit 1490,Bit 96,0.46481047452731217
Morgan Bit 632,Bit 162,-0.4644631777765705
Morgan Bit 1444,Bit 91,-0.4642907289952727
Morgan Bit 1293,Morgan Bit 926,-0.46425637376618156
Morgan Bit 632,Morgan Bit 1750,0.46399542077806905
Morgan Bit 1490,Morgan Bit 656,-0.4626989890839743
Morgan Bit 1323,Morgan Bit 656,-0.46114160440176527
Morgan Bit 1490,Morgan Bit 926,0.4594203698727836
Morgan Bit 1323,Morgan Bit 926,0.45942036987278334
Morgan Bit 1293,Morgan Bit 656,0.45864978891023284
Morgan Bit 976,Bit 31,-0.45542003404265025
Morgan Bit 565,Bit 31,-0.4554200340426485
Morgan Bit 36,Morgan Bit 926,0.45458436597938534
Bit 97,Bit 108,-0.44762636861674515
Morgan Bit 632,Bit 96,-0.4472171206610496
Morgan Bit 976,Morgan Bit 1430,0.44657692658551024
Morgan Bit 473,Bit 31,0.44640181554675507
Morgan Bit 624,Bit 31,0.44640181554675457
Morgan Bit 656,Bit 108,-0.43864114906275414
Morgan Bit 414,Morgan Bit 780,0.4307891660593504
Morgan Bit 976,Morgan Bit 1838,-0.41767790061294396
Bit 91,Bit 159,0.4134842630309816
Morgan Bit 565,Morgan Bit 414,0.4116064972249563
Morgan Bit 419,Morgan Bit 414,0.41160649722495507
Morgan Bit 67,Bit 121,0.4069930991577046
Morgan Bit 926,Bit 108,0.4065325713984293
Morgan Bit 222,Bit 121,0.405674679469109
Morgan Bit 632,Bit 108,0.40522982470550345
Morgan Bit 1649,Bit 89,0.3970458129264583
Morgan Bit 45,Bit 69,0.3957160611393085
Bit 101,Bit 65,0.3885711878206096
Morgan Bit 1633,Bit 156,-0.3826298489245731
Morgan Bit 565,Morgan Bit 1683,-0.38066557029759435
Morgan Bit 624,Morgan Bit 1683,0.38066557029759396
Morgan Bit 45,Bit 162,0.37913741761079167
Bit 69,Bit 108,0.3790439979236512
Morgan Bit 439,Bit 121,-0.378125159989506
Morgan Bit 1293,Bit 108,0.3776280333122156
Morgan Bit 1741,Bit 162,-0.3744074076715168
Morgan Bit 473,Morgan Bit 1683,0.37281679565228315
Morgan Bit 1723,Bit 91,0.3689823479915933
Morgan Bit 1357,Morgan Bit 715,-0.3665725999216537
Morgan Bit 976,Bit 141,-0.3651483716701101
Bit 65,Bit 96,0.36358018061542624
Morgan Bit 67,Bit 156,0.363578646527089
Bit 97,Bit 90,0.3599073269591852
Morgan Bit 565,Bit 108,0.3579046360763484
Morgan Bit 1490,Morgan Bit 997,0.3567822556989782
Morgan Bit 1405,Bit 108,-0.356129066539226
Morgan Bit 976,Bit 96,0.35017384764476467
Morgan Bit 1723,Bit 89,-0.3488560011263249
Morgan Bit 1043,Morgan Bit 439,0.3486260282426173
Morgan Bit 784,Bit 108,-0.34533502676572275
Bit 136,Morgan Bit 715,0.3449645474724905
Morgan Bit 1357,Bit 65,-0.3444095317402734
Morgan Bit 976,Bit 101,0.3391995254882845
Morgan Bit 1043,Bit 101,0.3391995254882842
Morgan Bit 36,Bit 121,-0.3389834222272152
Morgan Bit 1866,Bit 96,0.3381938941436253
Morgan Bit 1601,Morgan Bit 1741,-0.3355481727574742
Morgan Bit 1323,Bit 121,-0.3351877553628774
Morgan Bit 1646,Morgan Bit 1750,-0.33266196642150087
Morgan Bit 1143,Morgan Bit 650,0.3324254349685601
Morgan Bit 565,Bit 96,0.33207763432285126
Morgan Bit 1444,Morgan Bit 414,0.3316611008760714
Morgan Bit 1838,Bit 108,-0.3312630397695677
Bit 97,Bit 156,0.3306478051896356
Morgan Bit 473,Morgan Bit 656,-0.3303073413433108
Morgan Bit 624,Morgan Bit 656,-0.3280949679920489
Morgan Bit 1293,Bit 91,-0.32748492608300916
Morgan Bit 624,Morgan Bit 926,0.3263193079221044
Morgan Bit 565,Morgan Bit 926,-0.32631930792210406
Morgan Bit 473,Morgan Bit 926,0.3228843678387147
Morgan Bit 1646,Morgan Bit 1873,-0.32167132083056693
Bit 136,Morgan Bit 650,0.31731536289651546
Morgan Bit 624,Bit 162,-0.3091269443499282
Morgan Bit 67,Morgan Bit 1723,0.29748416792074295
Morgan Bit 36,Morgan Bit 1444,0.29748416792074284
Morgan Bit 439,Bit 162,-0.293913767772207
Morgan Bit 591,Morgan Bit 1873,0.2869844704760111
Bit 141,EQE (%),-0.27868151837721145
Bit 101,Morgan Bit 715,0.27637111204715825
Morgan Bit 67,Morgan Bit 1226,-0.2756821907651376
Bit 89,Morgan Bit 1226,0.2749254315616949
Morgan Bit 950,Morgan Bit 1357,-0.27421884049229234
Bit 97,Bit 104,0.2738420050611818
Morgan Bit 1293,Morgan Bit 1750,0.27284918926117996
Morgan Bit 437,Morgan Bit 1750,-0.2728491892611795
Morgan Bit 645,Morgan Bit 1741,0.2724915389583802
Morgan Bit 439,Morgan Bit 1741,-0.27249153895838
Morgan Bit 1043,Bit 156,-0.26553044065953046
Morgan Bit 715,Morgan Bit 650,0.2647759435522507
Morgan Bit 1293,Morgan Bit 1873,0.2642563741670327
Bit 136,Bit 82,-0.25865187025548947
Bit 97,Morgan Bit 650,0.24870215129690537
Morgan Bit 439,Bit 89,-0.24869475257944998
Morgan Bit 1444,Morgan Bit 1143,0.246803486625483
Morgan Bit 45,Bit 96,-0.24544699153562485
Bit 98,Bit 163,0.24530509116461843
Morgan Bit 976,Bit 65,0.244662094774541
Morgan Bit 378,EQE (%),0.24422402333314067
Morgan Bit 976,Morgan Bit 1226,-0.24398074321751353
Bit 31,Bit 162,0.24348751690225948
Morgan Bit 1646,Bit 108,-0.24254304371150204
Morgan Bit 1741,Bit 96,0.24246844003095258
Morgan Bit 473,Bit 121,-0.24077477402423897
Morgan Bit 624,Bit 121,-0.23807876952488125
Morgan Bit 1444,Morgan Bit 1873,-0.23793348397329472
Morgan Bit 45,Bit 97,0.23215189114277585
Bit 89,Bit 91,0.22710857116939479
Morgan Bit 439,Bit 108,-0.22522187825639434
Bit 125,Morgan Bit 650,0.22290538110152305
Morgan Bit 1293,Morgan Bit 650,-0.22277190090626503
Morgan Bit 950,Morgan Bit 650,-0.22235889675687903
Morgan Bit 565,Bit 121,0.2200801162214897
Morgan Bit 67,Bit 89,0.21768821703784183
Bit 163,Morgan Bit 650,-0.21672180361111026
Morgan Bit 1430,Bit 159,-0.2163495891622568
Morgan Bit 997,EQE (%),-0.21542792642053715
Morgan Bit 1043,Bit 91,0.214563466869529
Morgan Bit 378,Bit 162,-0.21335091972254283
Morgan Bit 926,Morgan Bit 1357,-0.2079089562334555
Morgan Bit 222,EQE (%),-0.20543086172465214
Morgan Bit 1866,Bit 89,-0.2016789986387042
Bit 31,Morgan Bit 532,0.20117691554699788
Bit 162,Bit 104,0.1982980820256239
Bit 97,Morgan Bit 414,0.19801384354610654
Morgan Bit 1293,EQE (%),-0.19740036356023638
Morgan Bit 67,Morgan Bit 650,0.1956758435578699
Morgan Bit 1043,Morgan Bit 1741,-0.19548206566563875
Bit 69,Morgan Bit 715,-0.19447569382980714
Morgan Bit 1043,Morgan Bit 1750,0.19380063324460364
Morgan Bit 997,Morgan Bit 650,0.19240742802634814
Morgan Bit 1633,Bit 89,0.19166873322193018
Bit 101,Bit 108,-0.19120163061247908
Morgan Bit 439,Bit 156,0.18620804342170447
Morgan Bit 997,Bit 108,0.18528723478571582
Morgan Bit 1741,Bit 108,-0.18417268464549713
Morgan Bit 473,Bit 104,0.18008477975420153
Bit 97,Bit 69,0.17445872621005404
Morgan Bit 1750,Morgan Bit 650,0.17201646582193947
Morgan Bit 222,Bit 162,-0.17165524658778955
Morgan Bit 1866,Bit 121,0.17113739064166317
Morgan Bit 1490,Bit 108,-0.17067321987767264
Morgan Bit 780,Morgan Bit 650,-0.1656077521639171
Morgan Bit 1601,Morgan Bit 1928,0.16497947439282923
Morgan Bit 1633,Bit 162,0.16203701785370064
Morgan Bit 656,Bit 89,-0.1532004987055196
Bit 108,Bit 91,0.1465607493504806
Morgan Bit 645,Bit 162,0.1459632612056138
Morgan Bit 1357,Morgan Bit 1380,0.14563257206855137
Morgan Bit 36,Bit 162,0.14467110490189125
Bit 65,Bit 89,-0.14454526041848603
Morgan Bit 45,Morgan Bit 715,0.142715797095721
Bit 65,Bit 121,0.1418023004045718
Morgan Bit 591,Morgan Bit 715,0.14094889844926287
Morgan Bit 950,Bit 159,0.14061225214016984
Morgan Bit 926,EQE (%),-0.14055008969232002
Morgan Bit 1430,Morgan Bit 414,-0.13959964081085433
Morgan Bit 500,Bit 162,-0.13817398818321078
Morgan Bit 222,Morgan Bit 414,-0.12333747566284539
Morgan Bit 565,Bit 162,-0.12176719614945547
Morgan Bit 1323,Bit 162,0.12096898919864635
Morgan Bit 784,Morgan Bit 414,0.11917389484982639
Morgan Bit 222,Morgan Bit 1357,-0.1173135001788584
Morgan Bit 950,Morgan Bit 1380,0.1166251941952295
Bit 96,Bit 156,0.11311673771474613
Morgan Bit 1952,Bit 91,0.11233701621883255
Morgan Bit 976,Bit 162,0.10818939602891654
Morgan Bit 1838,Morgan Bit 715,0.10775638014893618
Bit 101,Bit 91,0.10677961790994599
Morgan Bit 1838,Bit 91,0.10509738541920496
Bit 98,Morgan Bit 715,-0.10372072711522005
Morgan Bit 473,Bit 162,0.10275768756397116
Morgan Bit 624,Bit 108,-0.10115361150390846
Morgan Bit 500,Morgan Bit 715,-0.10018807890426779
Bit 96,Morgan Bit 1453,0.09850675297594165
Morgan Bit 1380,EQE (%),0.09498922073258437
Morgan Bit 1323,Bit 108,-0.09060006473424898
Morgan Bit 950,Bit 104,-0.09008751990940875
Bit 121,EQE (%),0.08857237850360289
Bit 96,Bit 121,0.08808889530108592
Morgan Bit 976,Morgan Bit 650,0.08797848866646858
Bit 101,Bit 69,0.08646386280114317
Morgan Bit 414,Morgan Bit 650,-0.08607743162400719
Bit 89,Morgan Bit 715,-0.08533856101106001
Bit 108,Bit 156,-0.08496844634646361
Morgan Bit 45,Morgan Bit 650,0.08257867854797224
Morgan Bit 1453,Morgan Bit 715,0.08181086828893094
Morgan Bit 45,EQE (%),0.0810346402181851
Morgan Bit 1430,Bit 156,0.07820747381988058
Morgan Bit 45,Bit 90,0.07745899508892883
Bit 101,EQE (%),0.07445027304752765
Morgan Bit 656,Bit 156,-0.07429982647728889
Morgan Bit 976,Bit 121,0.07327181518946353
Morgan Bit 656,Bit 91,-0.07315588228969608
Morgan Bit 1226,Morgan Bit 1873,-0.0697878825615799
Morgan Bit 222,Bit 163,-0.06735053193621274
Morgan Bit 715,Morgan Bit 1873,0.0658779434442477
Bit 69,Bit 121,-0.06451291366711584
Morgan Bit 1741,Morgan Bit 650,0.06438989190899772
Bit 89,Bit 162,-0.06350605820249954
Bit 108,Bit 121,0.05667465449208083
Bit 97,Bit 162,-0.05653145637053914
Morgan Bit 1928,Morgan Bit 1873,0.05557960957885694
